second,Volt,Volt
x-axis,1,2
+323.437E-06,+9.997613234E+00,+2.513569E-03
+325.000E-06,+9.948165998E+00,+2.513569E-03
+326.562E-06,+9.948165998E+00,+2.513569E-03
+328.125E-06,+9.948165998E+00,+2.513569E-03
+329.687E-06,+9.948165998E+00,+968.343E-06
+331.250E-06,+9.997613234E+00,+865.328E-06
+332.812E-06,+9.948165998E+00,+2.513569E-03
+334.375E-06,+9.948165998E+00,+2.513569E-03
+335.937E-06,+9.948165998E+00,+2.513569E-03
+337.500E-06,+9.948165998E+00,+2.513569E-03
+339.062E-06,+9.948165998E+00,+2.513569E-03
+340.625E-06,+9.948165998E+00,+2.513569E-03
+342.187E-06,+9.948165998E+00,+2.513569E-03
+343.750E-06,+9.948165998E+00,+2.513569E-03
+345.312E-06,+9.948165998E+00,+2.513569E-03
+346.875E-06,+9.948165998E+00,+2.513569E-03
+348.437E-06,+9.895422280E+00,+2.513569E-03
+350.000E-06,+9.944869515E+00,+2.513569E-03
+351.562E-06,+9.895422280E+00,+2.513569E-03
+353.125E-06,+9.895422280E+00,+2.513569E-03
+354.687E-06,+9.895422280E+00,+968.343E-06
+356.250E-06,+9.895422280E+00,+2.513569E-03
+357.812E-06,+9.895422280E+00,+2.513569E-03
+359.375E-06,+9.895422280E+00,+2.513569E-03
+360.937E-06,+9.842678562E+00,+2.513569E-03
+362.500E-06,+9.892125797E+00,+2.513569E-03
+364.062E-06,+9.842678562E+00,+2.513569E-03
+365.625E-06,+9.789934844E+00,+968.343E-06
+367.187E-06,+9.839382079E+00,+2.513569E-03
+368.750E-06,+9.789934844E+00,+2.513569E-03
+370.312E-06,+9.789934844E+00,+2.513569E-03
+371.875E-06,+9.789934844E+00,+2.513569E-03
+373.437E-06,+9.737191126E+00,+2.513569E-03
+375.000E-06,+9.684447408E+00,+968.343E-06
+376.562E-06,+9.733894643E+00,+865.328E-06
+378.125E-06,+9.737191126E+00,+2.513569E-03
+379.687E-06,+9.684447408E+00,+2.513569E-03
+381.250E-06,+9.684447408E+00,+2.513569E-03
+382.812E-06,+9.684447408E+00,+2.513569E-03
+384.375E-06,+9.631703690E+00,+2.513569E-03
+385.937E-06,+9.631703690E+00,+2.513569E-03
+387.500E-06,+9.631703690E+00,+2.513569E-03
+389.062E-06,+9.578959972E+00,+2.513569E-03
+390.625E-06,+9.578959972E+00,+2.513569E-03
+392.187E-06,+9.578959972E+00,+2.513569E-03
+393.750E-06,+9.526216254E+00,+2.513569E-03
+395.312E-06,+9.526216254E+00,+2.513569E-03
+396.875E-06,+9.526216254E+00,+2.513569E-03
+398.437E-06,+9.473472536E+00,+2.513569E-03
+400.000E-06,+9.473472536E+00,+2.513569E-03
+401.562E-06,+9.420728818E+00,+968.343E-06
+403.125E-06,+9.420728818E+00,+2.513569E-03
+404.687E-06,+9.367985100E+00,+2.513569E-03
+406.250E-06,+9.367985100E+00,+2.513569E-03
+407.812E-06,+9.367985100E+00,+2.513569E-03
+409.375E-06,+9.315241382E+00,+2.513569E-03
+410.937E-06,+9.315241382E+00,+2.513569E-03
+412.500E-06,+9.262497663E+00,+2.513569E-03
+414.062E-06,+9.262497663E+00,+2.513569E-03
+415.625E-06,+9.209753945E+00,+2.513569E-03
+417.187E-06,+9.209753945E+00,+2.513569E-03
+418.750E-06,+9.157010227E+00,+2.513569E-03
+420.312E-06,+9.157010227E+00,+2.513569E-03
+421.875E-06,+9.104266509E+00,+968.343E-06
+423.437E-06,+9.051522791E+00,+2.513569E-03
