second,Volt,Volt
x,1,2
-201.7500E-03,-562.8141E-03,+1.4874372E+00
-201.5000E-03,-412.0603E-03,+1.5778894E+00
-201.2500E-03,-402.0100E-03,+1.7336683E+00
-201.0000E-03,-241.2060E-03,+1.6783919E+00
-200.7500E-03,-160.8040E-03,+1.7788945E+00
-200.5000E-03,+0.0E+00,+1.8492462E+00
-200.2500E-03,+80.4020E-03,+1.9547738E+00
-200.0000E-03,+236.1809E-03,+2.0100502E+00
-199.7500E-03,+291.4573E-03,+2.1155779E+00
-199.5000E-03,+341.7085E-03,+2.3869346E+00
-199.2500E-03,+482.4121E-03,+2.3366834E+00
-199.0000E-03,+643.2161E-03,+2.5879397E+00
-198.7500E-03,+723.6181E-03,+2.6030150E+00
-198.5000E-03,+804.0201E-03,+2.8944723E+00
-198.2500E-03,+1.0050251E+00,+2.8542713E+00
-198.0000E-03,+1.1155779E+00,+2.9899497E+00
-197.7500E-03,+1.1859296E+00,+3.0552763E+00
-197.5000E-03,+1.2361809E+00,+3.2964824E+00
-197.2500E-03,+1.3668342E+00,+3.2160804E+00
-197.0000E-03,+1.4723618E+00,+3.4824120E+00
-196.7500E-03,+1.5778894E+00,+3.5075377E+00
-196.5000E-03,+1.6884422E+00,+3.3819095E+00
-196.2500E-03,+1.8492462E+00,+3.5175879E+00
-196.0000E-03,+1.9296482E+00,+3.7788944E+00
-195.7500E-03,+2.0100502E+00,+3.9447236E+00
-195.5000E-03,+2.1708542E+00,+3.7788944E+00
-195.2500E-03,+2.2512563E+00,+3.7487437E+00
-195.0000E-03,+2.3316583E+00,+3.8592964E+00
-194.7500E-03,+2.4924623E+00,+4.2160804E+00
-194.5000E-03,+2.5728643E+00,+4.1708542E+00
-194.2500E-03,+2.7085427E+00,+4.1005025E+00
-194.0000E-03,+2.7336683E+00,+4.4371859E+00
-193.7500E-03,+2.8140703E+00,+4.2613065E+00
-193.5000E-03,+2.8944723E+00,+4.2864321E+00
-193.2500E-03,+3.0753769E+00,+4.5075376E+00
-193.0000E-03,+3.2060301E+00,+4.8743718E+00
-192.7500E-03,+3.2562814E+00,+4.9849246E+00
-192.5000E-03,+3.3768844E+00,+4.6783919E+00
-192.2500E-03,+3.4422110E+00,+4.8894472E+00
-192.0000E-03,+3.5728643E+00,+4.9748743E+00
-191.7500E-03,+3.6984924E+00,+5.1356783E+00
-191.5000E-03,+3.7587939E+00,+5.1005025E+00
-191.2500E-03,+3.8241206E+00,+5.1457286E+00
-191.0000E-03,+3.9346733E+00,+5.3718592E+00
-190.7500E-03,+4.0201005E+00,+5.2713567E+00
-190.5000E-03,+4.1256281E+00,+5.4422110E+00
-190.2500E-03,+4.1758794E+00,+5.5326633E+00
-190.0000E-03,+4.2613065E+00,+5.3366834E+00
-189.7500E-03,+4.2763819E+00,+5.6432160E+00
-189.5000E-03,+4.4221105E+00,+5.5025125E+00
-189.2500E-03,+4.6180904E+00,+5.5829145E+00
-189.0000E-03,+4.5276381E+00,+5.5326633E+00
-188.7500E-03,+4.6783919E+00,+5.8693467E+00
-188.5000E-03,+4.7788944E+00,+5.8944723E+00
-188.2500E-03,+4.8944723E+00,+5.9949748E+00
-188.0000E-03,+4.9597989E+00,+6.0301507E+00
-187.7500E-03,+5.0351758E+00,+5.9396984E+00
-187.5000E-03,+5.1407035E+00,+6.1055276E+00
-187.2500E-03,+5.1457286E+00,+6.0854271E+00
-187.0000E-03,+5.2261306E+00,+6.0301507E+00
-186.7500E-03,+5.3065326E+00,+6.1105527E+00
-186.5000E-03,+5.3869346E+00,+6.1105527E+00
-186.2500E-03,+5.4020100E+00,+6.1909547E+00
-186.0000E-03,+5.4773869E+00,+6.2010050E+00
-185.7500E-03,+5.6281406E+00,+6.2713567E+00
-185.5000E-03,+5.6331658E+00,+6.2713567E+00
-185.2500E-03,+5.7085427E+00,+6.2713567E+00
-185.0000E-03,+5.7889447E+00,+6.2713567E+00
-184.7500E-03,+5.8643215E+00,+6.2713567E+00
-184.5000E-03,+5.8693467E+00,+6.2713567E+00
-184.2500E-03,+5.9497487E+00,+6.2713567E+00
-184.0000E-03,+5.9497487E+00,+6.2713567E+00
-183.7500E-03,+6.0301507E+00,+6.2713567E+00
-183.5000E-03,+6.1105527E+00,+6.2713567E+00
-183.2500E-03,+6.1909547E+00,+6.2713567E+00
-183.0000E-03,+6.2713567E+00,+6.2713567E+00
-182.7500E-03,+6.2713567E+00,+6.2713567E+00
-182.5000E-03,+6.3517587E+00,+6.2713567E+00
-182.2500E-03,+6.3517587E+00,+6.2713567E+00
-182.0000E-03,+6.4321607E+00,+6.2713567E+00
-181.7500E-03,+6.4874371E+00,+6.2713567E+00
-181.5000E-03,+6.4824120E+00,+6.2713567E+00
-181.2500E-03,+6.5125627E+00,+6.2713567E+00
-181.0000E-03,+6.5628140E+00,+6.2713567E+00
-180.7500E-03,+6.5929648E+00,+6.2713567E+00
-180.5000E-03,+6.5979899E+00,+6.2713567E+00
-180.2500E-03,+6.6733668E+00,+6.2713567E+00
-180.0000E-03,+6.6733668E+00,+6.2713567E+00
-179.7500E-03,+6.6733668E+00,+6.1909547E+00
-179.5000E-03,+6.7537688E+00,+6.1909547E+00
-179.2500E-03,+6.8241205E+00,+6.1909547E+00
-179.0000E-03,+6.8341708E+00,+6.1909547E+00
-178.7500E-03,+6.8341708E+00,+6.2361808E+00
-178.5000E-03,+6.9095477E+00,+6.1909547E+00
-178.2500E-03,+6.8844220E+00,+6.1909547E+00
-178.0000E-03,+6.9145728E+00,+6.1909547E+00
-177.7500E-03,+6.9145728E+00,+6.1909547E+00
-177.5000E-03,+6.9145728E+00,+6.1407035E+00
-177.2500E-03,+6.9145728E+00,+6.1105527E+00
-177.0000E-03,+6.9145728E+00,+6.1105527E+00
-176.7500E-03,+6.9497487E+00,+6.0703517E+00
-176.5000E-03,+6.9246230E+00,+5.9748743E+00
-176.2500E-03,+6.9296482E+00,+6.0301507E+00
-176.0000E-03,+6.9145728E+00,+5.9899497E+00
-175.7500E-03,+6.9195979E+00,+5.8844220E+00
-175.5000E-03,+6.9145728E+00,+6.0402009E+00
-175.2500E-03,+6.9949748E+00,+5.8743718E+00
-175.0000E-03,+6.9145728E+00,+5.8693467E+00
-174.7500E-03,+6.9145728E+00,+5.8391959E+00
-174.5000E-03,+6.9346733E+00,+6.0050251E+00
-174.2500E-03,+6.9195979E+00,+5.9999999E+00
-174.0000E-03,+6.8743718E+00,+5.9195979E+00
-173.7500E-03,+6.9145728E+00,+5.8844220E+00
-173.5000E-03,+6.9648240E+00,+5.8944723E+00
